id,title,slug,description,price,imageUrl,category,sku,inventory,isActive,createdAt,updatedAt,tier
cmkoayje100007zx8k0rvgert,COMMON Pokémon Card #1,common-pok-mon-card-1-0,Seeded Pokémon COMMON card,2.35,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-0-1769016852646,48,true,2026-01-21 17:34:12.649,2026-01-21 17:34:12.649,COMMON
cmkoayjoc00017zx86ak2irq6,COMMON Pokémon Card #2,common-pok-mon-card-2-1,Seeded Pokémon COMMON card,4.88,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-1-1769016853018,30,true,2026-01-21 17:34:13.02,2026-01-21 17:34:13.02,COMMON
cmkoayjyp00027zx87t7u0hlz,COMMON Pokémon Card #3,common-pok-mon-card-3-2,Seeded Pokémon COMMON card,3.73,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-2-1769016853392,31,true,2026-01-21 17:34:13.393,2026-01-21 17:34:13.393,COMMON
cmkoayk9h00037zx8fdnuvjlo,COMMON Pokémon Card #4,common-pok-mon-card-4-3,Seeded Pokémon COMMON card,3.15,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-3-1769016853780,46,true,2026-01-21 17:34:13.781,2026-01-21 17:34:13.781,COMMON
cmkoaykjn00047zx8nh568ko5,COMMON Pokémon Card #5,common-pok-mon-card-5-4,Seeded Pokémon COMMON card,4.57,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-4-1769016854145,33,true,2026-01-21 17:34:14.147,2026-01-21 17:34:14.147,COMMON
cmkoayktf00057zx8frwzndxs,COMMON Pokémon Card #6,common-pok-mon-card-6-5,Seeded Pokémon COMMON card,3.02,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-5-1769016854498,46,true,2026-01-21 17:34:14.5,2026-01-21 17:34:14.5,COMMON
cmkoayl3u00067zx8tll5fu0q,COMMON Pokémon Card #7,common-pok-mon-card-7-6,Seeded Pokémon COMMON card,3.55,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-6-1769016854872,37,true,2026-01-21 17:34:14.874,2026-01-21 17:34:14.874,COMMON
cmkoayldx00077zx8p2qyqfcl,COMMON Pokémon Card #8,common-pok-mon-card-8-7,Seeded Pokémon COMMON card,4.45,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-7-1769016855236,50,true,2026-01-21 17:34:15.238,2026-01-21 17:34:15.238,COMMON
cmkoaylnq00087zx8s0943irc,COMMON Pokémon Card #9,common-pok-mon-card-9-8,Seeded Pokémon COMMON card,4.75,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-8-1769016855589,47,true,2026-01-21 17:34:15.591,2026-01-21 17:34:15.591,COMMON
cmkoaylxn00097zx8t5odv3na,COMMON Pokémon Card #10,common-pok-mon-card-10-9,Seeded Pokémon COMMON card,4.25,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-9-1769016855946,40,true,2026-01-21 17:34:15.947,2026-01-21 17:34:15.947,COMMON
cmkoaym7s000a7zx8955g8k7g,COMMON Pokémon Card #11,common-pok-mon-card-11-10,Seeded Pokémon COMMON card,3.99,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-10-1769016856311,44,true,2026-01-21 17:34:16.313,2026-01-21 17:34:16.313,COMMON
cmkoaymiv000b7zx8i9mj05kb,COMMON Pokémon Card #12,common-pok-mon-card-12-11,Seeded Pokémon COMMON card,2.64,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-11-1769016856710,54,true,2026-01-21 17:34:16.712,2026-01-21 17:34:16.712,COMMON
cmkoaymtq000c7zx8swvg67s8,COMMON Pokémon Card #13,common-pok-mon-card-13-12,Seeded Pokémon COMMON card,4.46,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-12-1769016857101,45,true,2026-01-21 17:34:17.102,2026-01-21 17:34:17.102,COMMON
cmkoayn42000d7zx8x8p3a0an,COMMON Pokémon Card #14,common-pok-mon-card-14-13,Seeded Pokémon COMMON card,3.96,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-13-1769016857473,54,true,2026-01-21 17:34:17.474,2026-01-21 17:34:17.474,COMMON
cmkoayneh000e7zx8tfym3hqj,COMMON Pokémon Card #15,common-pok-mon-card-15-14,Seeded Pokémon COMMON card,2.97,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-14-1769016857848,53,true,2026-01-21 17:34:17.849,2026-01-21 17:34:17.849,COMMON
cmkoaynok000f7zx80vmb14e6,COMMON Pokémon Card #16,common-pok-mon-card-16-15,Seeded Pokémon COMMON card,2.86,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-15-1769016858210,31,true,2026-01-21 17:34:18.212,2026-01-21 17:34:18.212,COMMON
cmkoaynye000g7zx88pyqwqxx,COMMON Pokémon Card #17,common-pok-mon-card-17-16,Seeded Pokémon COMMON card,4.39,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-16-1769016858565,36,true,2026-01-21 17:34:18.566,2026-01-21 17:34:18.566,COMMON
cmkoayo8f000h7zx8m1n6xm1g,COMMON Pokémon Card #18,common-pok-mon-card-18-17,Seeded Pokémon COMMON card,2.26,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-17-1769016858926,60,true,2026-01-21 17:34:18.928,2026-01-21 17:34:18.928,COMMON
cmkoayoih000i7zx8hxgwidpt,COMMON Pokémon Card #19,common-pok-mon-card-19-18,Seeded Pokémon COMMON card,3.50,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-18-1769016859288,49,true,2026-01-21 17:34:19.29,2026-01-21 17:34:19.29,COMMON
cmkoayosh000j7zx8lenn5zok,COMMON Pokémon Card #20,common-pok-mon-card-20-19,Seeded Pokémon COMMON card,2.46,https://storage.googleapis.com/wms-order-images/products/common.png,POKEMON,POKEMON-COMMON-19-1769016859648,55,true,2026-01-21 17:34:19.649,2026-01-21 17:34:19.649,COMMON
